scorer,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM,LdM
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,Nose,Nose,head_base,head_base,head_device,head_device,head_center,head_center,right_ear,right_ear,left_ear,left_ear,body_center,body_center,tail_base,tail_base,perc25_bodylength,perc25_bodylength,perc75_bodylength,perc75_bodylength,tail_tip,tail_tip,perc25_tail,perc25_tail,tail_middle,tail_middle,perc75_tail,perc75_tail,FR_shoulder,FR_shoulder,FR_leg,FR_leg,FL_shoulder,FL_shoulder,FL_leg,FL_leg,BR_shoulder,BR_shoulder,BR_leg,BR_leg,BL_shoulder,BL_shoulder,BL_leg,BL_leg,Nose,Nose,head_base,head_base,head_device,head_device,head_center,head_center,right_ear,right_ear,left_ear,left_ear,body_center,body_center,tail_base,tail_base,perc25_bodylength,perc25_bodylength,perc75_bodylength,perc75_bodylength,tail_tip,tail_tip,perc25_tail,perc25_tail,tail_middle,tail_middle,perc75_tail,perc75_tail,FR_shoulder,FR_shoulder,FR_leg,FR_leg,FL_shoulder,FL_shoulder,FL_leg,FL_leg,BR_shoulder,BR_shoulder,BR_leg,BR_leg,BL_shoulder,BL_shoulder,BL_leg,BL_leg,Nose,Nose,head_base,head_base,head_device,head_device,head_center,head_center,right_ear,right_ear,left_ear,left_ear,body_center,body_center,tail_base,tail_base,perc25_bodylength,perc25_bodylength,perc75_bodylength,perc75_bodylength,tail_tip,tail_tip,perc25_tail,perc25_tail,tail_middle,tail_middle,perc75_tail,perc75_tail,FR_shoulder,FR_shoulder,FR_leg,FR_leg,FL_shoulder,FL_shoulder,FL_leg,FL_leg,BR_shoulder,BR_shoulder,BR_leg,BR_leg,BL_shoulder,BL_shoulder,BL_leg,BL_leg,Nose,Nose,head_base,head_base,head_device,head_device,head_center,head_center,right_ear,right_ear,left_ear,left_ear,body_center,body_center,tail_base,tail_base,perc25_bodylength,perc25_bodylength,perc75_bodylength,perc75_bodylength,tail_tip,tail_tip,perc25_tail,perc25_tail,tail_middle,tail_middle,perc75_tail,perc75_tail,FR_shoulder,FR_shoulder,FR_leg,FR_leg,FL_shoulder,FL_shoulder,FL_leg,FL_leg,BR_shoulder,BR_shoulder,BR_leg,BR_leg,BL_shoulder,BL_shoulder,BL_leg,BL_leg
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\lh70_Cam_1__23339300__20201026_173507937\img05035.png,724.8837976856478,444.20351691844456,705.9533473052737,455.56178714666896,714.1565424701025,449.09388326670785,,,717.7848787930075,461.398676013951,702.1672572291989,447.0430844755007,692.8597857921817,465.027012336856,678.819701760071,476.2275288119106,698.5389209062939,460.9254147544416,685.6031131463717,470.70614745096816,619.6620443214022,469.12860991927033,664.3063564684509,477.6473125904387,644.5871373222279,477.4895588372689,631.1780683027963,474.64999128021276,712.5790049384046,468.8131024129308,,,693.9640620643702,452.5644658364431,,,699.3276896721428,482.6954326918717,,,680.5549930449386,460.9254147544416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\lh70_Cam_1__23339300__20201026_173507937\img06472.png,818.9708668135429,327.1686033896192,798.8422866622591,339.3895270528986,807.4688210128094,329.56486293143865,,,812.0217141422663,341.78578659471805,,,791.6535080368006,352.3293285787239,786.3817370447978,367.4257636921867,794.2893935328021,345.3801759074473,789.4968744491631,359.7577331583643,,,781.5892179611587,387.07509193510657,,,,,805.7914393335358,346.3386797241751,,,792.1327599451646,335.0762598776235,,,808.1876988753552,364.7898781961852,,,779.6722103277032,347.53680949508487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\lh70_Cam_1__23339300__20201026_173507937\img07226.png,775.345748748326,455.5793597166423,786.9915701215687,429.2684299474642,,,777.5023823359635,447.3841520836196,,,793.4614708844813,443.9335383433995,797.127747983465,409.64306429996253,806.1856090515428,387.6454017060596,792.3831540906625,419.99490552062275,802.9506586700865,397.5659162091923,788.5012136329149,337.3958391141048,810.0675495092904,372.98029331012424,806.1856090515428,359.177838349244,797.127747983465,346.2380368234187,,,,,802.3036685937952,430.77807345881047,,,815.0278067608567,409.4274009411988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\lh70_Cam_1__23339300__20201026_173507937\img07770.png,578.2072072127057,376.1848887463149,600.9416317168366,369.9976719508869,595.7616362601991,374.88988988215556,586.5527554483994,372.73155844189,596.481080073621,362.9471225793527,,,616.3377293240643,368.5587843240432,626.266053949286,366.6882304091464,609.1432911898457,368.7026730867276,621.229947255333,368.7026730867276,673.6054568724442,375.46544493289304,639.2160425908794,359.6376810376122,654.3243626727384,356.9037945466091,667.1304625516475,362.08379000324646,603.6755182078397,355.8965732078185,580.5094274156558,370.2854494762557,610.7260675793739,381.36488420295234,584.5383127708182,380.78932915221475,616.3377293240643,356.04046197050286,,,618.7838382896987,380.64544038953045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\lh70_Cam_1__23339300__20201026_173507937\img09621.png,634.4609850331349,543.6383560707778,,,650.6581930488215,530.3720714103106,641.2483864873274,537.3137319884621,644.6420872144237,521.1165239727754,656.2115215113427,539.473359723887,675.4939120062078,517.1057867498434,696.0103754927443,508.0044984362671,667.318178436385,521.2707830967344,685.8292733114555,512.4780130310758,746.1445907793936,478.5410057601132,708.1968462854991,500.44580136228,718.5322075907468,493.04136341225177,731.7984922512139,484.4028524705522,655.2859667675891,513.2493086508704,,,668.2437331801385,533.611513013448,,,687.2176054270858,502.296910849787,,,682.8983499562361,526.6698524352965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data\lh70_Cam_1__23339300__20201026_173507937\img10312.png,870.2937290309009,372.6975346841897,848.5716362843071,385.9967751412879,857.4377965890393,376.02234479846425,,,862.0925307490236,387.548353194616,844.4340948087655,373.5841507146629,838.3755519338652,398.4093995679129,830.174353651988,415.03345013928566,842.5869780786129,391.7597793393638,834.8290878119723,405.28067380408027,805.3491047987379,465.1272558610222,825.2979654843853,427.88938258114723,822.4164633853474,443.8484711296651,815.9884971644165,456.7044035715267,858.5460666271308,396.85782151458477,,,840.3704380024299,381.1203869736852,,,848.5716362843071,409.93540796406467,,,829.2877376215147,391.9814333469821,832.8342017434076,379.1255009051205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
